id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,kategori_pelanggaran,lokasi_rawan_kamtibmas,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,3273130002,CISARANTEN BINA HARAPAN,32.73.24,ARCAMANIK,32.73.24.1002,CISARANTEN BINA HARAPAN,BEGAL,JL. CICUKANG,2019
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,3273130002,CISARANTEN BINA HARAPAN,32.73.24,ARCAMANIK,32.73.24.1002,CISARANTEN BINA HARAPAN,BEGAL,BANTARAN KALI CIJALUPANG,2019
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,3273130001,CISARANTEN KULON,32.73.24,ARCAMANIK,32.73.24.1003,CISARANTEN KULON,BEGAL,JL. GOLF RAYA,2019
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,3273130001,CISARANTEN KULON,32.73.24,ARCAMANIK,32.73.24.1003,CISARANTEN KULON,BEGAL,BANTARAN KALI CIJALUPANG,2019
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,3273130001,CISARANTEN KULON,32.73.24,ARCAMANIK,32.73.24.1003,CISARANTEN KULON,BEGAL,JL. PURBASARI,2019
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,3273130003,SUKAMISKIN,32.73.24,ARCAMANIK,32.73.24.1001,SUKAMISKIN,BEGAL,JL. PURBASARI,2019
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,3273130003,SUKAMISKIN,32.73.24,ARCAMANIK,32.73.24.1001,SUKAMISKIN,BEGAL,JL. PACUAN KUDA,2019
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,3273130003,SUKAMISKIN,32.73.24,ARCAMANIK,32.73.24.1001,SUKAMISKIN,BEGAL,JL. PURIDAGO,2019
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,3273130005,CISARANTEN ENDAH,32.73.24,ARCAMANIK,32.73.24.1004,CISARANTEN ENDAH,BEGAL,JL. TERS.CIKAJANG,2019
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,3273130005,CISARANTEN ENDAH,32.73.24,ARCAMANIK,32.73.24.1004,CISARANTEN ENDAH,BEGAL,JL. PARAKANSAAT,2019
