id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,kategori_pelanggaran,lokasi_rawan_kamtibmas,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150005,BABAKAN SURABAYA,32.73.16,KIARACONDONG,32.73.16.1003,BABAKAN SURABAYA,PENCURIAN,RW 14 & RW 15 & RW 13,2019
"2,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150001,KEBON KANGKUNG,32.73.16,KIARACONDONG,32.73.16.1006,KEBON KANGKUNG,""KARAOKE ILEGAL """"K5"""""",JL. IBRAHIM ADJIE RT 02 RW 11,2019"
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150002,SUKAPURA,32.73.16,KIARACONDONG,32.73.16.1001,SUKAPURA,PEMBEGALAN,JL. SEKEJATI RW 10,2019
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150002,SUKAPURA,32.73.16,KIARACONDONG,32.73.16.1001,SUKAPURA,PEMBEGALAN,JL. SUKAMANAH RW 13,2019
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150002,SUKAPURA,32.73.16,KIARACONDONG,32.73.16.1001,SUKAPURA,KECELAKAAN,JL. PSM,2019
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150002,SUKAPURA,32.73.16,KIARACONDONG,32.73.16.1001,SUKAPURA,KECELAKAAN,JL. SEKEJATI,2019
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150002,SUKAPURA,32.73.16,KIARACONDONG,32.73.16.1001,SUKAPURA,PENCURIAN,SUKAPURA RW 01,2019
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150002,SUKAPURA,32.73.16,KIARACONDONG,32.73.16.1001,SUKAPURA,PENCURIAN,TERS. PSM RW 06,2019
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150004,BABAKAN SARI,32.73.16,KIARACONDONG,32.73.16.1005,BABAKANSARI,PERTIKAIAN KELOMPOK,RW 17,2019
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,3273150004,BABAKAN SARI,32.73.16,KIARACONDONG,32.73.16.1005,BABAKANSARI,PERKELAHIAN,RW 02 & 14 & 15 & 17,2019
