id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,kategori_pelanggaran,lokasi_rawan_kamtibmas,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,GEGERKALONG,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,CURANMOR,RW 03 & RW 07,2018
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,PENCURIAN,AL MUKAROMAH RW 02,2018
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,BEGAL - TAWURAN - GENG MOTOR,JL. SUKAHAJI RW 03,2018
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,KERIBUTAN WARGA,DANGDEUR RW 04,2018
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,KERIBUTAN WARGA,CILANDAK RW 05,2018
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,ISOLA,32.73.01,SUKASARI,32.73.01.1003,ISOLA,PENCURIAN,RW 06,2018
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,GEGERKALONG,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,CURANMOR,RW 03 & RW 07,2019
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,PENCURIAN,AL MUKAROMAH RW 02,2019
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,BEGAL - TAWURAN - GENG MOTOR,JL. SUKAHAJI RW 03,2019
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,KERIBUTAN WARGA,DANGDEUR RW 04,2019
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,KERIBUTAN WARGA,CILANDAK RW 05,2019
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,ISOLA,32.73.01,SUKASARI,32.73.01.1003,ISOLA,PENCURIAN,RW 06,2019
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,PENCURIAN MOTOR,AL MUKAROMAH RW 02,2020
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,PENCURIAN MOTOR,JL. SUKAHAJI RW 03,2020
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,PENCURIAN MOTOR,DANGDEUR RW 04,2020
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,PENCURIAN MOTOR,CILANDAK RW 05,2020
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,GEGERKALONG,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,PENCURIAN MOTOR,RW 03 & RW 07,2020
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,ISOLA,32.73.01,SUKASARI,32.73.01.1003,ISOLA,PENCURIAN MOTOR,RW 04,2020
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,ISOLA,32.73.01,SUKASARI,32.73.01.1003,ISOLA,PENCURIAN MOTOR,RW 06,2020
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SARIJADI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,PENCURIAN MOTOR,JL. PERINTIS,2020
21,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SARIJADI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,PENCURIAN MOTOR,JL. SARIMANAH,2020
22,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SARIJADI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,PENCURIAN MOTOR,JL. TIRTA SARI,2020
